wavelength_nm,intensity_mean,
399.741,1610.598402,
399.957,1574.19654,
400.173,1553.975498,
400.388,1567.128328,
400.604,1611.295056,
400.82,1589.795164,
401.035,1713.53966,
401.251,1675.394504,
401.466,1606.918734,
401.682,1686.136672,
401.897,1788.18409,
402.113,1711.389302,
402.328,1761.181218,
402.544,1758.447918,
402.759,1693.263594,
402.974,1692.075116,
403.19,1692.506592,
403.405,1815.41395,
403.621,1788.228416,
403.836,1675.809218,
404.051,1749.513788,
404.267,1705.340978,
404.482,1610.205388,
404.697,1533.527758,
404.913,1517.60889,
405.128,1578.598988,
405.343,1525.777906,
405.559,1502.804456,
405.774,1546.515928,
405.989,1566.775598,
406.204,1545.81708,
406.42,1514.90082,
406.635,1538.96813,
406.85,1520.993862,
407.065,1561.096376,
407.28,1508.898714,
407.495,1564.489018,
407.71,1454.486516,
407.926,1504.808368,
408.141,1560.62063,
408.356,1511.502732,
408.571,1489.994132,
408.786,1434.062514,
409.001,1458.616814,
409.216,1489.422998,
409.431,1500.546232,
409.646,1446.132764,
409.861,1485.582136,
410.076,1426.547352,
410.291,1459.186226,
410.506,1442.28938,
410.721,1441.26908,
410.936,1394.31667,
411.15,1374.61916,
411.365,1380.152224,
411.58,1413.624604,
411.795,1424.873352,
412.01,1407.870364,
412.225,1450.583392,
412.439,1387.150466,
412.654,1425.577054,
412.869,1436.677028,
413.084,1445.293456,
413.299,1452.671676,
413.513,1380.473722,
413.728,1402.191368,
413.943,1523.005124,
414.157,1459.425502,
414.372,1480.976458,
414.587,1513.441554,
414.801,1593.186484,
415.016,1564.883338,
415.231,1617.734356,
415.445,1632.729362,
415.66,1671.972786,
415.874,1769.037984,
416.089,1764.357724,
416.304,1861.542272,
416.518,1888.26723,
416.733,1858.464084,
416.947,1905.66046,
417.162,1923.740234,
417.376,1973.656332,
417.59,2010.506572,
417.805,2048.796524,
418.019,1997.262698,
418.234,1964.965558,
418.448,1931.182886,
418.663,2011.817008,
418.877,1955.573748,
419.091,2053.312176,
419.306,2022.339386,
419.52,2051.256992,
419.734,1994.390354,
419.949,2064.156528,
420.163,2189.61602,
420.377,2014.99339,
420.591,2047.640338,
420.806,2155.872734,
421.02,2140.428096,
421.234,2210.405982,
421.448,2182.881066,
421.663,2201.030742,
421.877,2201.416048,
422.091,2196.021492,
422.305,2232.400336,
422.519,2231.590176,
422.733,2424.144076,
422.947,2334.707842,
423.161,2296.146144,
423.376,2371.019626,
423.59,2436.61576,
423.804,2444.951116,
424.018,2443.620526,
424.232,2435.32436,
424.446,2533.7041,
424.66,2465.724972,
424.874,2378.100672,
425.088,2253.455186,
425.302,2236.304284,
425.515,2383.583632,
425.729,2261.67816,
425.943,2252.669318,
426.157,2234.900826,
426.371,2143.307166,
426.585,2204.956918,
426.799,2171.60727,
427.013,2194.781054,
427.226,2206.153408,
427.44,2016.753352,
427.654,2026.518108,
427.868,2039.28248,
428.081,2050.060806,
428.295,1908.402618,
428.509,1925.779272,
428.723,1872.380328,
428.936,1857.700538,
429.15,1747.33341,
429.364,1838.30056,
429.577,1787.847384,
429.791,1767.144854,
430.005,1900.030944,
430.218,1905.037512,
430.432,1770.08612,
430.645,1777.401232,
430.859,1823.496006,
431.073,1858.744292,
431.286,1870.926064,
431.5,1895.282084,
431.713,1678.507426,
431.927,1662.462092,
432.14,1675.782482,
432.354,1612.350738,
432.567,1464.838686,
432.781,1488.910094,
432.994,1417.381794,
433.207,1438.921794,
433.421,1432.970644,
433.634,1378.759482,
433.848,1383.403006,
434.061,1303.41441,
434.274,1227.48426,
434.488,1309.467574,
434.701,1290.326902,
434.914,1306.298974,
435.127,1402.647142,
435.341,1420.058896,
435.554,1434.875472,
435.767,1448.71708,
435.98,1509.67737,
436.194,1446.864862,
436.407,1436.092084,
436.62,1565.087742,
436.833,1527.30034,
437.046,1458.221346,
437.259,1430.41441,
437.473,1528.362142,
437.686,1522.304036,
437.899,1447.811548,
438.112,1560.85391,
438.325,1445.51945,
438.538,1413.898832,
438.751,1501.988012,
438.964,1421.23815,
439.177,1355.959304,
439.39,1313.822096,
439.603,1345.61231,
439.816,1258.080162,
440.029,1302.969894,
440.242,1272.164494,
440.455,1242.02432,
440.668,1175.748964,
440.881,1154.833056,
441.094,1098.028698,
441.306,1134.449714,
441.519,1180.750248,
441.732,1184.650964,
441.945,1276.359472,
442.158,1216.770616,
442.37,1277.790288,
442.583,1420.67232,
442.796,1586.100158,
443.009,1757.41289,
443.222,1868.482178,
443.434,2065.389662,
443.647,2703.764128,
443.86,3105.857392,
444.072,3353.02336,
444.285,3441.95957,
444.498,3634.04486,
444.71,3662.030426,
444.923,3837.141202,
445.136,3854.396846,
445.348,3781.524104,
445.561,3846.457958,
445.773,3961.72996,
445.986,3811.25272,
446.198,4167.167792,
446.411,4136.805926,
446.623,4327.17848,
446.836,4226.253138,
447.048,4327.468992,
447.261,4508.065912,
447.473,4511.09644,
447.686,4403.716938,
447.898,4480.259342,
448.11,4736.913618,
448.323,4780.734274,
448.535,4721.498856,
448.748,4534.620478,
448.96,4590.508018,
449.172,4587.136782,
449.385,4413.461412,
449.597,4734.966668,
449.809,4713.935742,
450.021,4796.301944,
450.234,4899.20897,
450.446,4557.918338,
450.658,4561.311174,
450.87,4569.555408,
451.083,4602.354298,
451.295,4540.872238,
451.507,4286.143232,
451.719,4065.807952,
451.931,3956.602008,
452.143,3638.60974,
452.356,3144.471864,
452.568,2932.79163,
452.78,2686.817118,
452.992,2498.329188,
