Wavelength,Flux
554.155,1530.19424
554.361,1807.95812
554.567,1880.75694
554.773,2075.95217
554.979,2135.3912
555.185,2195.26509
555.391,2373.53904
555.597,2312.16626
555.803,2307.87867
556.009,2425.61464
556.215,2292.49581
556.421,2291.31118
556.627,2391.67063
556.833,2380.48903
557.038,2298.21705
557.244,2319.19711
557.45,2304.43479
557.656,2281.46213
557.862,2177.05118
558.067,2181.01217
558.273,2192.09586
558.479,2195.28701
558.685,2259.02075
558.89,2269.77406
559.096,2209.95193
559.301,2355.73933
559.507,2344.28295
559.713,2265.56511
559.918,2369.34492
560.124,2458.84035
560.329,2286.85361
560.535,2243.77205
560.74,2158.7949
560.946,2200.90932
561.151,2207.43808
561.357,2009.33288
561.562,1951.13493
561.768,1797.46307
561.973,1604.69709
562.179,1580.55265
562.384,1508.44378
562.589,1333.16929
562.795,1248.45239
563,1145.76864
563.205,1097.20972
563.411,1008.26437
563.616,892.03786
563.821,692.19982
564.026,508.66652
564.231,385.7511
564.437,316.53578
564.642,238.24373
564.847,103.75711
565.052,136.90341
565.257,8.79029
565.462,71.93525
565.668,79.23862
565.873,167.88562
566.078,146.7846
566.283,55.84857
566.488,80.50929
566.693,174.04051
566.898,24.83889
567.103,108.80419
567.308,75.16843
567.513,104.13616
567.717,80.13968
567.922,141.35784
568.127,232.55926
568.332,110.07354
568.537,126.17376
568.742,-9.9473
568.947,164.7966
569.151,78.43498
569.356,114.59242
569.561,0.11458
569.766,141.65496
569.97,128.61662
570.175,107.63559
570.38,56.37027
570.584,95.65499
570.789,89.67276
570.994,93.48895
571.198,114.64622
571.403,128.75668
571.608,86.51228
571.812,45.91266
572.017,39.90386
572.221,130.51269
572.426,54.45
572.63,45.41252
572.835,89.03706
573.039,53.64106
573.244,80.30226
573.448,78.48417
573.652,22.54519
573.857,55.00798
574.061,21.63505
574.265,40.41119
574.47,-8.57705
574.674,17.94656
574.878,59.69422
575.083,58.74628
575.287,104.58539
575.491,72.91713
575.695,41.33283
575.9,52.34736
576.104,6.95968
576.308,117.12501
576.512,115.54258
576.716,31.68827
576.921,16.58166
577.125,95.66238
577.329,37.12415
577.533,52.36791
577.737,67.03976
577.941,76.5039
578.145,46.42123
578.349,-47.96046
578.553,23.94791
578.757,39.82705
578.961,18.90639
579.165,94.67035
579.369,92.51019
579.573,61.83854
579.776,84.6602
579.98,26.18536
580.184,132.14026
580.388,100.9604
580.592,61.41989
580.796,138.20547
580.999,90.5643
581.203,101.2253
581.407,112.15876
581.611,98.02801
581.814,70.02086
582.018,141.26292
582.222,114.56559
582.425,175.56028
582.629,171.53223
582.833,216.7455
583.036,337.58304
583.24,436.71609
583.443,518.77778
583.647,776.5286
583.85,840.44404
584.054,1063.61554
584.257,1227.49034
584.461,1447.36922
584.664,1635.40044
584.868,1827.68166
585.071,2037.74329
585.275,2261.2283
585.478,2250.78178
585.681,2299.27456
585.885,2384.19281
586.088,2485.49115
586.291,2489.35431
586.495,2456.40638
586.698,2455.85569
586.901,2603.50446
587.105,2508.14069
587.308,2530.38756
587.511,2481.17599
587.714,2376.44509
587.917,2340.8258
588.121,2437.79574
588.324,2324.07492
588.527,2338.68882
588.73,2219.59821
588.933,2350.13081
589.136,2272.5428
589.339,2336.74245
589.542,2361.14997
589.745,2370.02779
589.948,2457.89891
590.151,2407.6898
590.354,2359.00863
590.557,2292.34442
590.76,2311.44248
590.963,2261.89283
591.166,2367.62816
591.369,2209.13494
591.572,2285.07414
591.775,2133.6458
591.978,2050.41676
592.18,1871.52532
592.383,1632.18385
592.586,1560.63654
592.789,1415.59772
592.991,1369.74684
593.194,1331.86196
593.397,1269.52372
593.6,1115.18429
593.802,1057.86488
594.005,923.03466
594.208,785.33129
594.41,631.11003
594.613,440.28413
594.815,352.18662
595.018,344.55262
595.221,130.44182
595.423,174.83087
595.626,71.18826
595.828,27.08503
596.031,100.86285
596.233,59.6149
596.436,81.21106
596.638,121.61141
596.84,74.77553
597.043,101.43146
597.245,127.2378
597.448,70.19508
597.65,191.78174
597.852,98.15046
598.055,225.54766
598.257,110.89274
598.459,70.58645
598.662,145.0618
598.864,140.21828
599.066,219.55613
599.268,181.18245
599.47,133.27245
599.673,155.11043
599.875,188.92051
600.077,157.16289
600.279,145.82767
600.481,44.4636
600.683,117.2704
600.885,164.44271
601.087,158.01456
601.289,258.28759
601.491,216.26487
601.693,174.2131
601.895,161.57808
602.097,160.07324
602.299,78.68454
602.501,143.06054
602.703,145.71035
602.905,153.01694
603.107,292.70717
603.309,157.80635
603.511,169.33178
603.713,174.10586
603.914,172.68678
604.116,150.9093
604.318,188.52903
604.52,149.37553
604.722,143.72678
604.923,262.99381
605.125,230.59286
605.327,191.15943
605.528,140.14429
605.73,227.61618
605.932,213.34407
606.133,243.55598
606.335,156.62076
606.537,111.72829
606.738,206.87996
606.94,223.93311
607.141,159.0758
607.343,97.10688
607.544,199.00596
607.746,113.94044
607.947,220.91359
608.149,165.99368
608.35,63.66544
608.552,125.14262
608.753,156.33514
608.954,57.3555
609.156,97.10688
609.357,149.00036
609.558,198.38743
609.76,110.609
609.961,158.90273
610.162,105.50015
610.364,68.37575
610.565,71.42852
610.766,87.11075
610.967,98.02039
611.169,118.57606
611.37,121.56108
611.571,108.15121
611.772,103.99791
611.973,73.78572
612.174,153.30528
612.375,84.67982
612.577,34.38691
612.778,43.65181
612.979,60.44492
613.18,74.19664
613.381,79.41201
613.582,28.95986
613.783,1.94213
613.984,-9.51363
614.185,-11.324
614.385,87.39281
614.586,50.54797
614.787,80.3781
614.988,25.77437
615.189,42.68911
615.39,73.33441
615.591,-14.53546
615.792,120.18904
615.992,20.22103
616.193,15.22158
616.394,11.55636
616.595,92.21883
616.795,12.93817
616.996,56.00492
617.197,87.71235
617.397,61.03898
617.598,49.11585
617.799,57.37793
617.999,-0.34298
618.2,69.29636
618.4,86.27738
618.601,79.39954
618.802,95.50378
619.002,49.25153
619.203,77.36362
619.403,45.95588
619.604,-18.21903
619.804,46.40299
620.005,131.68287
620.205,-4.002
620.405,113.69614
620.606,105.47535
620.806,40.81793
621.007,64.8682
621.207,20.66511
621.407,61.88172
621.608,-13.6122
621.808,44.47393
622.008,18.87098
622.208,2.406
622.409,65.97445
622.609,82.25558
622.809,84.35426
623.009,59.21315
623.21,50.04664
623.41,23.93102
623.61,111.06661
623.81,109.71968
624.01,-8.11892
624.21,37.23111
624.41,8.80728
624.61,85.76593
624.81,2.86539
625.01,55.57339
625.21,41.27175
625.41,6.52756
625.61,48.18563
625.81,89.0091
626.01,74.42916
626.21,39.55179
626.41,67.03976
626.61,77.62987
626.81,16.14826
627.01,132.89192
627.21,114.6193
627.409,45.90907
627.609,11.56087
627.809,127.13859
628.009,34.93585
628.208,31.26261
628.408,43.66553
628.608,14.77545
628.808,26.68201
629.007,121.12277
629.207,72.3361
629.407,58.23864
629.606,24.40414
629.806,43.58365
630.006,50.96602
630.205,62.02722
630.405,45.60243
630.604,-78.22557
630.804,34.87597
631.003,-26.01839
631.203,-13.63135
631.402,-33.7561
631.602,87.17211
631.801,-0.34362
632.001,-41.10063
632.2,-41.52328
632.399,53.27543
632.599,1.03125
632.798,21.20558
632.998,-15.45856
633.197,35.82083
633.396,48.24984
633.595,9.72595
633.795,51.45603
633.994,1.48864
634.193,15.71127
634.392,3.78345
634.592,38.62917
634.791,66.97149
634.99,63.24794
635.189,31.68827
635.388,-6.76026
635.588,77.47175
635.787,111.01425
635.986,14.78357
636.185,70.25569
636.384,-10.4185
636.583,67.11915
636.782,87.09036
636.981,55.10683
637.18,67.46584
637.379,86.85823
637.578,-3.08985
637.777,98.73193
637.976,41.2526
638.175,105.93262
638.374,64.2119
638.572,98.1351
638.771,79.34357
638.97,80.25199
639.169,49.99198
639.368,101.94516
639.567,125.30824
639.765,15.2192
639.964,96.69525
640.163,138.06402
640.362,169.33846
640.56,88.33809
640.759,86.16944
640.958,108.92962
641.156,112.67642
641.355,197.32085
641.554,131.3442
641.752,76.54554
641.951,128.58675
642.149,109.10767
642.348,211.29507
642.546,128.76673
642.745,103.02818
642.943,147.43381
643.142,201.42955
643.34,201.283
643.539,194.05306
643.737,153.07043
643.936,301.5599
644.134,240.46419
644.333,256.72507
644.531,210.23398
644.729,204.64552
644.928,179.33523
645.126,160.71315
645.324,264.65655
645.523,201.58435
645.721,197.88231
645.919,318.34524
646.117,160.66411
646.316,234.89386
646.514,225.51598
646.712,290.31535
646.91,256.25035
647.108,232.27122
647.306,195.58948
647.505,111.6677
647.703,188.18414
647.901,118.08299
648.099,237.51705
648.297,121.98295
648.495,128.07116
648.693,193.873
648.891,137.16876
649.089,225.65165
649.287,116.63283
649.485,174.66955
649.683,156.57207
649.881,136.42579
650.079,120.41121
650.276,134.57937
650.474,47.63205
650.672,179.08788
650.87,134.66305
651.068,144.10932
651.266,146.45284
651.463,95.04593
651.661,160.48475
651.859,114.66419
652.057,138.81545
652.254,84.0023
652.452,62.83005
652.65,-21.38015
652.847,180.62618
653.045,101.77716
653.243,116.44775
653.44,159.70892
653.638,106.42323
653.836,64.66923
654.033,55.07661
654.231,65.58388
654.428,65.54304
654.626,48.72323
654.823,-19.59452
655.021,27.55047
655.218,17.09244
655.416,-22.36152
655.613,-9.50691
655.811,32.14811
656.008,42.71915
656.205,49.51554
656.403,24.39648
656.6,82.74002
656.797,16.13565
656.995,15.65251
657.192,-9.97455
657.389,117.63027
657.587,72.45981
657.784,58.43134
657.981,30.83868
658.178,83.12607
658.375,42.26799
658.573,31.76283
658.77,53.19638
658.967,29.8565
659.164,70.31667
659.361,44.07866
