wavelength_nm,intensity,source_count
390.023,7.593685,2
390.239,45.321870000000004,2
390.456,80.98400000000001,2
390.672,71.255525,2
390.888,58.350595,2
391.104,85.349175,2
391.321,114.087725,2
391.537,59.587795,2
391.753,70.745045,2
391.969,61.64834999999999,2
392.185,70.761615,2
392.401,88.77836500000001,2
392.618,69.60825,2
392.834,62.746340000000004,2
393.05,97.21015,2
393.266,110.621915,2
393.482,80.28717499999999,2
393.698,60.601479999999995,2
393.914,71.249905,2
394.13,14.363525,2
394.346,77.94497,2
394.562,75.81620000000001,2
394.778,40.859449999999995,2
394.994,76.869605,2
395.21,152.425275,2
395.426,82.59081499999999,2
395.642,91.0863,2
395.858,48.193925,2
396.073,128.04407,2
396.289,82.46968000000001,2
396.505,94.987635,2
396.721,109.087135,2
396.937,66.16928999999999,2
397.153,63.942425,2
397.369,98.357665,2
397.584,79.82258999999999,2
397.8,39.12643,2
398.016,37.419925,2
398.232,73.97165,2
398.447,59.356695,2
398.663,58.33627,2
398.879,48.211619999999996,2
399.094,82.609925,2
399.31,76.33069,2
399.526,79.14171,2
399.741,89.236955,2
399.957,47.053885,2
400.173,74.71764999999999,2
400.388,98.28230500000001,2
400.604,103.45803000000001,2
400.82,79.74088499999999,2
401.035,92.18408500000001,2
401.251,125.80769000000001,2
401.466,69.699655,2
401.682,87.049215,2
401.897,130.916735,2
402.113,104.48261,2
402.328,48.758145,2
402.544,123.08650499999999,2
402.759,116.31825,2
402.974,125.77378999999999,2
403.19,94.20497,2
403.405,137.70593000000002,2
403.621,111.78551999999999,2
403.836,133.14899,2
404.051,120.88298,2
404.267,105.10159999999999,2
404.482,143.68988000000002,2
404.697,153.872165,2
404.913,153.54659500000002,2
405.128,127.02706,2
405.343,79.07686,2
405.559,128.085715,2
405.774,142.84277500000002,2
405.989,158.54209500000002,2
406.204,117.83097000000001,2
406.42,151.67138,2
406.635,138.167845,2
406.85,120.540525,2
407.065,135.82856,2
407.28,163.166165,2
407.495,130.36339999999998,2
407.71,174.158835,2
407.926,162.44250499999998,2
