wavelength_nm,intensity,source_count
416.089,10.595452499999999,4
416.304,11.123582500000001,4
416.518,9.78305,4
416.733,13.2021425,4
416.947,14.667557499999997,4
417.162,16.4636125,4
417.376,11.474915,4
417.59,14.802245000000001,4
417.805,17.3734375,4
418.019,12.851385,4
418.234,6.9718124999999995,4
418.448,3.3078075,4
418.663,13.965574999999998,4
418.877,13.0877675,4
419.091,16.74199,4
419.306,3.510795,4
419.52,16.30271,4
419.734,8.4740325,4
419.949,11.0782375,4
420.163,10.852825000000001,4
420.377,11.07996,4
420.591,8.676657500000001,4
420.806,12.54652,4
421.02,15.69462,4
421.234,10.041242500000001,4
421.448,17.184900000000003,4
421.663,11.19247,4
421.877,9.1968625,4
422.091,11.498215,4
422.305,11.157455,4
422.519,8.5855675,4
422.733,15.364684999999998,4
422.947,11.102509999999999,4
423.161,10.7188775,4
423.376,12.941175,4
423.59,15.55876,4
423.804,19.011475,4
424.018,9.6479075,4
424.232,11.314745,4
424.446,10.086545,4
424.66,10.16523,4
424.874,14.5093175,4
425.088,10.831455,4
425.302,3.003195,4
425.515,16.335649999999998,4
425.729,19.25901,4
425.943,7.8869775,4
426.157,15.287997500000001,4
426.371,6.17348,4
426.585,13.856717500000002,4
426.799,21.210347499999997,4
427.013,8.6540675,4
427.226,8.112787500000001,4
427.44,9.9760275,4
427.654,13.291920000000001,4
427.868,11.1157375,4
428.081,14.06971,4
428.295,9.625734999999999,4
428.509,8.8587325,4
428.723,8.8701825,4
428.936,7.3351299999999995,4
429.15,-0.3698399999999995,4
429.364,7.561520000000002,4
429.577,9.096375,4
429.791,4.87646,4
430.005,12.5939225,4
430.218,10.584652499999999,4
430.432,10.643360000000001,4
430.645,13.077752499999999,4
430.859,5.723179999999999,4
431.073,13.69929,4
431.286,1.7628200000000003,4
431.5,-2.737505,4
431.713,14.106390000000001,4
431.927,4.346605,4
432.14,-0.83189,4
432.354,7.178875,4
432.567,-0.6175849999999999,4
432.781,8.306687499999999,4
432.994,3.8613924999999996,4
433.207,7.1655475,4
433.421,10.1452175,4
433.634,10.80879,4
433.848,11.9713875,4
434.061,15.671889999999998,4
434.274,7.7169525,4
434.488,9.80645,4
434.701,14.688005,4
434.914,7.4356824999999995,4
435.127,9.363264999999998,4
435.341,14.5398,4
435.554,21.26389,4
