cm-1,A_sample_norm,A_NIST_norm
3720.0,0.0004214960364939278,0.03079655904763767
3719.0,-0.006106651824789961,0.031217554638498707
3718.0,-0.019261935328715316,0.03158715165399465
3717.0,-0.02856299464720691,0.032037604237887735
3716.0,-0.0326081450347385,0.0325950614275517
3715.0,-0.024845349612106847,0.033684894315027976
3714.0,-0.010533985084083246,0.03441660128025422
3713.0,0.006402203311013545,0.03517140125090568
3712.0,0.0130095780357738,0.03593014458480894
3711.0,0.004026894437689829,0.03732725307407672
3710.0,-0.0063435377104140486,0.03828288021060396
3709.0,-0.011530314122706314,0.039189048052174394
3708.0,-0.008862403059572357,0.04002820455855375
3707.0,-0.004900817900304359,0.040684274390968445
3706.0,0.0003548353276839992,0.0413299809030671
3705.0,-0.0009151155580115575,0.04190568161368255
3704.0,-0.0034343447383493163,0.04298183857616265
3703.0,-0.0033250947048325953,0.04448708052358473
3702.0,-0.0019876252585743948,0.04737324308379204
3701.0,-0.004683871999030053,0.048972151244633895
3700.0,-0.007356476376791221,0.05004830365657115
3699.0,-0.0020755942325774556,0.050942650097105587
3698.0,0.0150325766631767,0.05262924264385531
3697.0,0.032087184581302615,0.05356530107634503
3696.0,0.032010708109244376,0.05444417268548744
3695.0,0.017546606420509665,0.055583638320063807
3694.0,0.013597753304051219,0.05716457962412434
3693.0,0.021447887961824053,0.060384648646564315
3692.0,0.022715534451110624,0.06222880440297956
3691.0,-0.00229520242228154,0.06351778450856138
3690.0,-0.027271351074423123,0.06506980335707362
3689.0,-0.014279377347444536,0.06836539135277601
3688.0,0.026366875344727904,0.0701627236719796
3687.0,0.058028643157454624,0.07183147417921931
3686.0,0.06344841494108665,0.0734545830864327
3685.0,0.05561440739490621,0.0756577423360339
3684.0,0.04767206377432437,0.07654158794462033
3683.0,0.04893636298590533,0.08078277669350001
3682.0,0.04904525108133268,0.08753771897198372
3681.0,0.0491269756353841,0.09226103372684659
3680.0,0.043690010133206614,0.09682932450517152
3679.0,0.02098534194200957,0.09830820856975991
3678.0,-0.019866191089249023,0.1001530908539893
3677.0,-0.0434356915434936,0.10287990070591832
3676.0,-0.017268949840705997,0.10667435936532373
3675.0,0.019381770343700734,0.10885056114600859
3674.0,0.008910773439297116,0.11251379286487047
3673.0,-0.03810144380298807,0.1168262573429398
3672.0,-0.06807381966198095,0.12221683298581569
3671.0,-0.043294275340710925,0.12534486838574685
3670.0,0.011743622005235595,0.12767993362777671
3669.0,0.05264421141945896,0.13012621724003764
3668.0,0.062071318654621135,0.13269074823658625
3667.0,0.06482621725931612,0.1378932862030314
3666.0,0.07545400695228421,0.14083618706379938
3665.0,0.09397269894236486,0.14307094396647493
3664.0,0.10725006590735565,0.14592744948768174
3663.0,0.11132745625635937,0.15308083185803614
3662.0,0.11010217733552355,0.15830433953900735
3661.0,0.10605746341552169,0.16331564087037134
3660.0,0.09658826556536079,0.16596158322811377
3659.0,0.07926823590783373,0.16840525615715587
3658.0,0.062071318654621135,0.1721720618662743
3657.0,0.058113077598411486,0.1749999440714337
3656.0,0.06591494697255026,0.17731664010729964
3655.0,0.0697566240763053,0.1813102021335655
3654.0,0.055307749558268275,0.1906169416314108
3653.0,0.03031328675261653,0.19611900507199992
3652.0,-0.007955003845459387,0.20157450235750254
3651.0,-0.051353443506584155,0.2070900051347791
3650.0,-0.057939032666841105,0.21285474229395115
3649.0,0.004977333647355793,0.21397099773278022
3648.0,0.10529670135442822,0.21598135169224247
3647.0,0.17574305630718895,0.21866672373592427
3646.0,0.1918432347055726,0.22250990367812953
3645.0,0.18805472371817583,0.22708737869070206
3644.0,0.19622348795214553,0.2309868082937393
3643.0,0.21371163046775643,0.23535487036059163
3642.0,0.22454328122409126,0.24024644116958052
3641.0,0.22467986067006399,0.2454395927674017
3640.0,0.22744839478330006,0.24768932400568378
3639.0,0.23409790051397994,0.25039775721038615
3638.0,0.23132685764713326,0.253342071838749
3637.0,0.22186781116668508,0.25834055401149975
3636.0,0.2151370614196054,0.26173988243622925
3635.0,0.21509254361164162,0.26535918228382877
3634.0,0.22150625296675966,0.2687966088098892
3633.0,0.2250610000874698,0.27258678686313814
3632.0,0.22064993405896874,0.27647790009369005
3631.0,0.20306315406457948,0.2794457055891
3630.0,0.19092075532364514,0.28294465773578065
3629.0,0.20683974762349747,0.28592137712088894
3628.0,0.24163152001601276,0.28963029666737805
3627.0,0.26474209395257864,0.2918288790896023
3626.0,0.2705488061438062,0.2939732610696851
3625.0,0.2693589917802993,0.2958773009570745
3624.0,0.26265802695784596,0.3000749215406935
3623.0,0.24267089649710677,0.30424946957258214
3622.0,0.2055656048603408,0.3089167084960949
3621.0,0.1698079182162831,0.31393562886339593
3620.0,0.16052508745394234,0.31772879549965777
3619.0,0.18576229038733982,0.3221152465165198
3618.0,0.230957298763838,0.3248702258290069
3617.0,0.27363421107051505,0.3268118617622794
3616.0,0.3031314548130187,0.3277907145210126
3615.0,0.3138931100797299,0.33029185122626903
3614.0,0.30431464603358455,0.3336843855912941
3613.0,0.28514486730793037,0.3407551532042637
3612.0,0.27009696245151643,0.34910643610086745
3611.0,0.2780314973072287,0.3563664892349206
3610.0,0.31290765997932685,0.3595522961959249
3609.0,0.35074937818381147,0.3622365261902535
3608.0,0.3659433586850466,0.36407500779805785
3607.0,0.3542121032221065,0.36501763353539124
3606.0,0.334323717691818,0.3676644009205756
3605.0,0.33179733352236784,0.37012833294405606
3604.0,0.35351162516296486,0.37360579995896565
3603.0,0.3901718632048864,0.37717853576025223
3602.0,0.4215156279263101,0.38265480306451816
3601.0,0.43504464837554113,0.38638532672910636
3600.0,0.42539291270187524,0.39023755775804725
3599.0,0.4023115524638499,0.39247398186625826
3598.0,0.3793336816179479,0.3941103896561242
3597.0,0.368444014429018,0.39543277550139433
3596.0,0.36432570404519216,0.3971867420513367
3595.0,0.36162132530686786,0.3994485529760476
3594.0,0.36014977201695725,0.4011518210312934
3593.0,0.35850021176061164,0.403804051967235
3592.0,0.358202504841302,0.406894208366948
3591.0,0.37017635478863065,0.41102962160995815
3590.0,0.39039307654594546,0.4159221406291869
3589.0,0.4079929816264798,0.4217416493178274
3588.0,0.40676754159836337,0.4229432524450269
3587.0,0.3907077097132562,0.42338445462788155
3586.0,0.3787159731230158,0.42381174028550483
3585.0,0.3841904576385803,0.4279011843073427
3584.0,0.397859922692431,0.4322537997659314
3583.0,0.41161481453899956,0.43395236147344673
3582.0,0.42260886414837645,0.438985571893938
3581.0,0.4281111127967195,0.4478888962726231
3580.0,0.43368446215259837,0.45559543020070103
3579.0,0.4379696843467573,0.4578230339880363
3578.0,0.4448452486818217,0.46097574472361125
3577.0,0.45294929278358376,0.4640371458567262
3576.0,0.4569675685485355,0.46742865325362587
3575.0,0.4542421137293521,0.46929614383540336
3574.0,0.4459313591396326,0.4713372445992682
3573.0,0.43354925010216494,0.47452199984743265
3572.0,0.42512613008421,0.4785333974114977
3571.0,0.42350184221848913,0.4795564729142281
3570.0,0.43681407008287615,0.4811281176466738
3569.0,0.4638012576612923,0.48479854200795913
3568.0,0.49370417066399247,0.48737799173792473
3567.0,0.5061368687920613,0.4889406793342023
3566.0,0.4995340779505625,0.4922924354374292
3565.0,0.48474296847091697,0.49561383244157636
3564.0,0.47814074575903714,0.49666240134955736
3563.0,0.4823786114468449,0.49817786795990465
3562.0,0.4905689662977177,0.5003990292490137
3561.0,0.4920083478121028,0.5012733451773975
3560.0,0.49208217447887076,0.5014546579165536
3559.0,0.49215601652045143,0.5048973468626529
3558.0,0.4949626223137177,0.5120272159476453
3557.0,0.4989882532607454,0.5171625707243924
3556.0,0.5098516990878561,0.5224862370806324
3555.0,0.5290936153222595,0.5280125571809468
3554.0,0.5524858998211308,0.5353193255195173
3553.0,0.5634721663171961,0.5383113725636428
3552.0,0.55644313012811,0.5413663664737507
3551.0,0.5385298590882172,0.5456321720699024
3550.0,0.5315217100083045,0.5599001051041087
