Wavelength,Flux
516.564,381.95161
516.773,314.56736
516.983,357.27256
517.192,336.94387
517.401,386.30683
517.61,315.52146
517.82,345.97831
518.029,354.4904
518.238,326.60404
518.447,462.16881
518.656,309.09857
518.865,326.90424
519.074,301.57939
519.284,351.24263
519.493,356.88479
519.702,428.14118
519.911,469.8732
520.12,438.16105
520.329,373.8493
520.538,370.87956
520.747,398.57835
520.956,487.872
521.165,474.77543
521.373,492.50941
521.582,399.30498
521.791,299.38584
522,477.8587
522.209,401.75991
522.418,435.02254
522.627,382.77725
522.835,508.06828
523.044,439.01601
523.253,452.46217
523.462,347.98965
523.67,434.72469
523.879,410.13601
524.088,408.66992
524.296,431.30385
524.505,441.34054
524.713,429.04609
524.922,443.46613
525.131,489.02811
525.339,538.14473
525.548,523.76142
525.756,409.92119
525.965,464.26663
526.173,470.37822
526.382,496.39691
526.59,387.12655
526.799,479.23754
527.007,410.1892
527.215,501.24842
527.424,484.13604
527.632,489.88878
527.841,431.04587
528.049,376.1774
528.257,416.12881
528.466,490.13151
528.674,441.42427
528.882,489.94256
529.09,469.71584
529.299,530.53317
529.507,608.55516
529.715,512.36853
529.923,439.16579
530.131,543.6448
530.339,454.07684
530.547,494.78722
530.756,482.87148
530.964,539.623
531.172,434.36788
531.38,490.67611
531.588,528.23903
531.796,538.76239
532.004,498.13188
532.212,535.35851
532.42,517.62795
532.628,510.71284
532.836,529.48974
533.043,500.76228
533.251,562.89813
533.459,516.30465
533.667,615.29124
533.875,605.83766
534.083,478.38677
534.29,535.91469
534.498,554.82779
534.706,663.30807
534.914,539.64812
535.121,527.94247
535.329,574.88534
535.537,556.11839
535.744,552.57681
535.952,551.3903
536.16,593.14378
536.367,601.96718
536.575,492.85496
536.783,624.6568
536.99,669.83165
537.198,596.58412
537.405,629.68203
537.613,488.08491
537.82,664.26105
538.028,514.79401
538.235,576.13103
538.442,637.56371
538.65,688.6307
538.857,626.73665
539.065,562.98822
539.272,555.25655
539.479,595.50451
539.687,664.56771
539.894,641.51322
540.101,609.47873
540.309,591.26005
540.516,607.90517
540.723,694.09724
540.93,680.8894
541.137,652.37279
541.345,630.64862
541.552,678.96873
541.759,657.96646
541.966,626.28117
542.173,594.47434
542.38,691.06526
542.587,529.69186
542.794,662.47637
543.001,596.32102
543.209,702.71851
543.416,705.19338
543.622,687.77024
543.829,586.93893
544.036,698.40209
544.243,681.05987
544.45,566.4361
544.657,635.38552
544.864,610.60364
545.071,570.88598
545.278,678.64115
545.485,592.0255
545.691,643.95901
545.898,699.19661
546.105,641.19429
546.312,634.57285
546.518,694.97115
546.725,632.73158
546.932,594.24254
547.139,645.93092
547.345,683.52489
547.552,639.1817
547.758,664.1643
547.965,574.84029
548.172,578.09147
548.378,706.44551
548.585,731.38136
548.791,587.08802
548.998,656.52095
549.204,582.95537
549.411,648.25626
549.617,647.47695
549.824,685.91846
550.03,672.41326
550.237,646.3204
550.443,705.04758
550.649,626.79356
550.856,694.04306
551.062,699.3694
551.268,709.77348
551.475,751.93995
551.681,727.19455
551.887,619.173
552.094,703.54822
552.3,689.18158
552.506,540.13583
552.712,647.06531
552.918,742.97448
553.125,651.42996
553.331,714.98281
553.537,633.04861
553.743,659.49973
553.949,596.69114
554.155,643.937
554.361,752.28407
554.567,654.72668
554.773,604.95705
554.979,649.33016
555.185,654.32599
555.391,808.03424
555.597,730.38621
555.803,658.2354
556.009,791.78836
556.215,606.61885
556.421,568.06671
556.627,736.6243
556.833,671.7624
557.038,611.371
557.244,671.29209
557.45,682.82619
557.656,713.06972
557.862,631.6377
558.067,588.41112
558.273,613.16193
558.479,676.37691
558.685,664.79969
558.89,671.52331
559.096,616.84041
559.301,742.44011
559.507,735.26317
559.713,561.79039
559.918,722.44599
560.124,794.98343
560.329,668.94147
560.535,657.03831
560.74,572.53156
560.946,683.39838
561.151,775.69719
561.357,677.77099
561.562,635.07959
561.768,697.36509
561.973,704.05276
562.179,745.17678
562.384,738.756
562.589,689.14596
562.795,682.6017
563,704.29024
563.205,702.29308
563.411,749.21883
563.616,814.12545
563.821,669.93484
564.026,714.64245
564.231,766.56635
564.437,753.37166
564.642,765.83883
564.847,674.2767
565.052,737.97652
565.257,618.99342
565.462,691.51233
565.668,698.18026
565.873,724.38138
566.078,769.65146
566.283,681.96181
566.488,677.68274
566.693,756.2088
566.898,699.62544
567.103,802.51688
567.308,730.55604
567.513,760.46435
567.717,689.12213
567.922,716.6249
568.127,814.0358
568.332,772.72345
568.537,778.66601
568.742,647.49116
568.947,748.99493
569.151,715.01172
569.356,771.93742
569.561,726.40906
569.766,796.90099
569.97,748.11709
570.175,756.95094
570.38,701.06062
570.584,710.33893
570.789,705.28161
570.994,742.9634
571.198,766.67857
571.403,742.38579
571.608,669.26274
571.812,728.02907
572.017,692.57743
572.221,772.43886
572.426,663.50068
572.63,699.19828
572.835,764.94328
573.039,730.30316
573.244,783.40516
573.448,794.92846
573.652,705.29367
573.857,724.88214
574.061,740.80481
574.265,703.9122
574.47,677.40999
574.674,686.58438
574.878,774.34244
575.083,761.64577
575.287,777.64809
575.491,728.4121
575.695,732.67675
575.9,748.32872
576.104,616.62369
576.308,693.92554
576.512,758.72991
576.716,675.13623
576.921,697.57353
577.125,703.00403
577.329,694.38786
577.533,716.34193
577.737,752.18033
577.941,716.58846
578.145,764.60778
578.349,678.22839
578.553,752.47187
578.757,642.58665
578.961,707.63318
579.165,807.91568
579.369,712.93882
579.573,707.17351
579.776,697.50105
579.98,699.19017
580.184,786.17191
580.388,645.01846
580.592,679.36581
580.796,815.03686
580.999,653.42061
581.203,697.96581
581.407,713.71425
581.611,706.47894
581.814,657.58138
582.018,620.38344
582.222,721.16692
582.425,776.98833
582.629,712.2863
582.833,693.34929
583.036,766.4
583.24,690.28922
583.443,700.51338
583.647,790.77564
583.85,692.6322
584.054,706.23711
584.257,664.73338
584.461,668.11298
584.664,651.35713
584.868,632.35065
585.071,716.99047
585.275,738.01404
585.478,707.01265
585.681,711.06236
585.885,692.71093
586.088,736.75554
586.291,691.48974
586.495,723.15621
586.698,614.64257
586.901,809.35034
587.105,696.30554
587.308,759.95837
