CENTRALWAVELNG,PL_TRANDEP
1.21412,1.88275
1.21507,1.875
1.21603,1.89552
1.21698,1.85093
1.21793,1.86697
1.21888,1.8666
1.21983,1.8886
1.22079,1.88308
1.22174,1.85887
1.22269,1.9006
1.22364,1.87354
1.2246,1.91671
1.22555,1.90418
1.2265,1.87354
1.22745,1.85396
1.22841,1.89062
1.22936,1.92628
1.23031,1.92966
1.23127,1.91321
1.23222,1.88924
1.23318,1.89323
1.23413,1.84406
1.23508,1.86686
1.23604,1.90667
1.23699,1.90224
1.23795,1.87497
1.2389,1.85111
1.23985,1.90016
1.24081,1.85895
1.24176,1.8882
1.24272,1.93642
1.24367,1.89008
1.24463,1.88827
1.24558,1.89791
1.24654,1.89159
1.24749,1.88791
1.24845,1.86057
1.2494,1.90067
1.25036,1.92908
1.25132,1.83464
1.25227,1.90084
1.25323,1.89359
1.25418,1.88303
1.25514,1.88881
1.2561,1.8499
1.25705,1.87958
1.25801,1.89161
1.25896,1.90365
1.25992,1.9096
1.26088,1.87124
1.26183,1.90387
1.26279,1.8697
1.26375,1.85472
1.26471,1.89018
1.26566,1.87599
1.26662,1.85497
1.26758,1.85879
1.26854,1.88941
1.26949,1.90338
1.27045,1.86258
1.27141,1.8883
1.27237,1.8847
1.27332,1.85869
1.27428,1.86982
1.27524,1.85507
1.2762,1.86625
1.27716,1.88275
1.27812,1.86525
1.27907,1.91519
1.28003,1.87026
1.28099,1.85418
1.28195,1.86812
1.28291,1.87664
1.28387,1.8808
1.28483,1.85601
1.28579,1.90527
1.28675,1.86398
1.2877,1.90642
1.28866,1.89474
1.28962,1.90337
1.29058,1.87512
1.29154,1.83289
1.2925,1.90736
1.29346,1.82254
1.29442,1.89658
1.29538,1.87958
1.29634,1.85723
1.2973,1.86609
1.29826,1.88854
1.29922,1.89616
1.30019,1.91439
1.30115,1.89389
1.30211,1.85119
1.30307,1.91365
1.30403,1.9154
1.30499,1.91608
1.30595,1.91778
1.30691,1.87259
1.30787,1.89058
1.30883,1.91646
1.3098,1.8969
1.31076,1.87027
1.31172,1.88046
1.31268,1.87212
1.31364,1.86409
1.3146,1.8863
1.31557,1.90846
1.31653,1.86386
1.31749,1.8924
1.31845,1.90725
1.31942,1.90888
1.32038,1.89757
1.32134,1.89812
1.3223,1.89324
1.32327,1.89205
1.32423,1.92136
1.32519,1.89333
1.32615,1.8658
1.32712,1.89439
1.32808,1.93107
1.32904,1.92735
1.33001,1.89857
1.33097,1.9202
1.33193,1.87927
1.3329,1.84552
1.33386,1.88388
1.33482,1.88771
1.33579,1.86756
1.33675,1.90107
1.33772,1.8586
1.33868,1.9383
1.33964,1.89123
1.34061,1.91085
1.34157,1.91068
1.34254,1.86598
1.3435,1.90926
1.34446,1.85566
1.34543,1.88116
1.34639,1.89643
1.34736,1.90074
1.34832,1.88584
1.34929,1.89847
1.35025,1.9045
1.35122,1.91451
1.35218,1.89407
1.35315,1.91865
1.35411,1.89758
1.35508,1.92549
1.35604,1.94609
1.35701,1.91293
1.35798,1.91817
1.35894,1.91121
1.35991,1.90108
1.36087,1.89484
1.36184,1.91303
1.3628,1.94732
1.36377,1.90216
1.36474,1.90964
1.3657,1.91221
1.36667,1.92369
1.36764,1.92319
1.3686,1.91516
1.36957,1.92001
1.37053,1.9162
1.3715,1.92158
1.37247,1.91092
1.37343,1.90206
1.3744,1.89014
1.37537,1.86378
1.37634,1.88731
1.3773,1.92982
1.37827,1.90041
1.37924,1.9489
1.3802,1.90008
1.38117,1.90323
1.38214,1.89011
1.38311,1.94512
1.38407,1.91205
1.38504,1.94921
1.38601,1.87017
1.38698,1.86502
1.38794,1.90752
1.38891,1.89705
1.38988,1.9189
1.39085,1.90202
1.39182,1.92958
1.39278,1.92231
1.39375,1.92104
1.39472,1.9036
1.39569,1.92246
1.39666,1.85812
1.39763,1.85833
1.39859,1.88465
1.39956,1.91831
1.40053,1.90718
1.4015,1.93668
1.40247,1.88398
1.40344,1.90095
1.40441,1.92396
1.40538,1.87479
1.40635,1.89985
1.40731,1.87273
1.40828,1.89239
1.40925,1.87998
1.41022,1.87117
1.41119,1.92955
1.41216,1.87989
1.41313,1.88397
1.4141,1.88053
1.41507,1.90256
1.41604,1.87276
1.41701,1.93404
1.41798,1.88745
1.41895,1.87051
1.41992,1.8845
1.42089,1.89319
1.42186,1.85868
1.42283,1.86174
1.4238,1.90708
1.42477,1.90839
1.42574,1.88976
1.42671,1.91678
1.42768,1.89711
1.42865,1.91957
1.42962,1.9047
1.43059,1.87789
1.43156,1.937
1.43254,1.89777
1.43351,1.84873
1.43448,1.90529
1.43545,1.88295
1.43642,1.92283
1.43739,1.85407
1.43836,1.86413
1.43933,1.87514
1.4403,1.89407
1.44128,1.87264
1.44225,1.84717
1.44322,1.90631
1.44419,1.9025
1.44516,1.91995
1.44613,1.87619
1.4471,1.89803
1.44808,1.88664
1.44905,1.86756
1.45002,1.87767
1.45099,1.91941
1.45196,1.89435
1.45294,1.9263
1.45391,1.87257
1.45488,1.89162
1.45585,1.87633
1.45682,1.84413
1.4578,1.87521
1.45877,1.86722
1.45974,1.8959
1.46071,1.88205
1.46169,1.88908
1.46266,1.95195
1.46363,1.90583
1.4646,1.8997
1.46558,1.93055
1.46655,1.81247
1.46752,1.87903
1.4685,1.88999
1.46947,1.88738
1.47044,1.89795
1.47141,1.83777
1.47239,1.87309
1.47336,1.90943
1.47433,1.90176
1.47531,1.8788
1.47628,1.86444
1.47725,1.91163
