x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
390.672,913.390032,15197.5683890578,-0.2412475513,390.672,4276.59037,390.672,412.02383,390.672,3310.448735
390.888,915.152354,15174.5068285281,-0.1966458868,390.888,4286.778436,390.888,417.4709,390.888,3319.451552
391.104,1000.051214,15151.5151515152,-0.1923165047,391.104,4524.369934,391.104,427.67718,391.104,3500.1967455000
391.321,946.698164,15128.5930408472,-0.352876834,391.321,4474.989332,391.321,418.599442,391.321,3460.8918595
391.537,1011.461602,15105.7401812689,-0.6229079249,391.537,4632.30611,391.537,476.57843,391.537,3593.37419
391.753,948.235648,15082.9562594268,-0.6014732977,391.753,4418.691,391.753,416.666974,391.753,3418.1849935
391.969,934.797422,15060.2409638554,-0.5068160977,391.969,4592.08721,391.969,423.765774,391.969,3550.006851
392.185,956.476198,15037.5939849624,-0.5469003156,392.185,4624.373744,392.185,413.071328,392.185,3571.5481400000
392.401,965.505766,15015.0150150150,-0.6135141282,392.401,4596.35741,392.401,372.849562,392.401,3540.480448
392.618,881.681938,14992.5037481259,-0.6323965474,392.618,4432.251972,392.618,353.795624,392.618,3412.637885
392.834,905.106704,14970.0598802395,-0.7261646249,392.834,4369.873592,392.834,349.207728,392.834,3364.707126
393.05,927.82994,14947.6831091181,-0.7086588045,393.05,4520.160646,393.05,362.88504,393.05,3480.8417445
393.266,923.253968,14925.3731343284,-0.5843877694,393.266,4433.9183,393.266,385.422928,393.266,3421.794457
393.482,948.427716,14903.1296572280,-0.5021812233,393.482,4469.881934,393.482,377.039734,393.482,3446.671384
393.698,893.193712,14880.9523809524,-0.4703957888,393.698,4300.347624,393.698,353.97511,393.698,3313.7544955
393.914,865.942828,14858.8410104012,-0.4605971889,393.914,4249.238046,393.914,338.534172,393.914,3271.5620775
394.13,934.414482,14836.7952522255,-0.3963388570,394.13,4312.364378,394.13,388.830248,394.13,3331.4808455
394.346,905.56691,14814.8148148148,-0.2889865868,394.346,4179.73908,394.346,357.726468,394.346,3224.2359270000
394.562,882.960812,14792.8994082840,-0.228631305,394.562,4206.266962,394.562,340.097636,394.562,3239.7246305
394.778,885.079408,14771.0487444609,-0.1991515712,394.778,4197.912386,394.778,360.06491,394.778,3238.450517
394.994,941.092794,14749.2625368732,-0.2237295094,394.994,4414.99661,394.994,382.076678,394.994,3406.766627
395.21,978.906756,14727.5405007364,-0.2736262063,395.21,4634.336756,395.21,381.828002,395.21,3571.2095675
395.426,1013.881546,14705.8823529412,-0.3609340515,395.426,4748.073948,395.426,361.927508,395.426,3651.537338
395.642,990.158106,14684.2878120411,-0.4096964782,395.642,4894.165094,395.642,379.281284,395.642,3765.4441415
395.858,1055.203806,14662.7565982405,-0.4205827933,395.858,5285.09572,395.858,395.15558,395.858,4062.610685
396.073,1040.209802,14641.2884333821,-0.4992608251,396.073,5192.189936,396.073,355.81697,396.073,3983.0966945
396.289,1071.29254,14619.8830409357,-0.4641764564,396.289,5481.707786,396.289,397.193066,396.289,4210.579106
396.505,1089.992164,14598.5401459854,-0.5019625316,396.505,5636.737948,396.505,419.91384,396.505,4332.531921
396.721,1093.925988,14577.2594752187,-0.610787878,396.721,5728.221434,396.721,420.441906,396.721,4401.276552
396.937,1082.272956,14556.0407569141,-0.6064028643,396.937,5767.079032,396.937,370.903406,396.937,4418.0351255
397.153,1043.506202,14534.8837209302,-0.5803318329,397.153,5452.901848,397.153,369.674688,397.153,4182.095058
397.369,1079.22083,14513.7880986938,-0.6505988982,397.369,5618.767994,397.369,432.08866,397.369,4322.0981605
397.584,1078.107612,14492.7536231884,-0.7061969994,397.584,5687.893388,397.584,392.514586,397.584,4364.0486875000
397.8,1047.154004,14471.7800289436,-0.5173542744,397.8,5424.569766,397.8,405.64375,397.8,4169.838262
398.016,1018.849656,14450.8670520231,-0.4248816366,398.016,5302.282864,398.016,363.552422,398.016,4067.6002535
398.232,1040.852086,14430.0144300144,-0.420384877,398.232,5254.97339,398.232,379.637224,398.232,4036.1393485000
398.447,1001.529666,14409.2219020173,-0.4692622252,398.447,5053.334626,398.447,369.805228,398.447,3882.4522765
398.663,937.589392,14388.4892086331,-0.7415612661,398.663,4866.11346,398.663,357.153222,398.663,3738.8734005
398.879,928.957026,14367.8160919540,-0.8374305991,398.879,4617.17131,398.879,380.74539,398.879,3558.06483
399.094,913.998352,14347.2022955524,-0.8626381581,399.094,4563.430102,399.094,350.281932,399.094,3510.1430595
399.31,884.930758,14326.6475644699,-0.6951137713,399.31,4343.411578,399.31,357.673956,399.31,3346.9771725000
399.526,862.37414,14306.1516452074,-0.3899984226,399.526,4120.829056,399.526,364.797302,399.526,3181.8211175
