wavelength,intensity
379.2081134,224.2448201
379.4001344,192.5601432
379.5921554,177.7960272
379.7841763,192.1086755
379.9761973,211.4681481
380.1682183,205.4526053
380.3602393,215.0015788
380.5522603,208.8296976
380.7442813,272.7078645
380.9363023,242.8546272
381.1283232,195.0842536
381.3203442,209.8520922
381.5123652,250.1732944
381.7043862,202.3240396
381.8964072,276.511633
382.0884282,234.157831
382.2804492,144.5637488
382.4724702,183.3942172
382.6644911,253.7377414
382.8565121,226.8215393
383.0485331,164.2856391
383.2405541,350.1372887
383.4325751,248.5032006
383.6245961,270.5394501
383.8166171,300.6372618
384.008638,253.6725996
384.200659,211.9634576
384.39268,237.1810186
384.584701,264.7837401
384.776722,247.1647758
384.968743,282.4330395
385.160764,275.4578217
385.352785,244.0338977
385.5448059,234.5735528
385.7368269,238.5242274
385.9288479,234.0879126
386.1208689,246.9320127
386.3128899,285.4488653
386.5049109,251.9769504
386.6969319,234.4647708
386.8889528,247.9418903
387.0809738,227.470328
387.2729948,195.1407265
387.4650158,230.5431647
387.6570368,301.8011048
387.8490578,269.8039521
388.0410788,326.7843979
388.2330998,274.7699539
388.4251207,243.7796506
388.6171417,290.8941672
388.8091627,332.3204847
389.0011837,262.3735733
389.1932047,200.8583328
389.3852257,194.0287073
389.5772467,326.7127761
389.7692676,306.1162344
389.9612886,278.3550882
390.1533096,290.764812
390.3453306,297.593724
390.5373516,288.1471482
390.7293726,304.4034213
390.9213936,270.3416511
391.1134146,341.047189
391.3054355,294.2494315
391.4974565,277.6482071
391.6894775,304.366675
391.8814985,300.5150538
392.0735195,307.843684
392.2655405,296.9436216
392.4575615,270.0034918
392.6495824,283.0348713
392.8416034,309.1709252
393.0336244,322.2119077
393.2256454,300.4826079
393.4176664,259.3878647
393.6096874,268.3431906
393.8017084,324.8368447
393.9937294,382.5124573
394.1857503,393.4158849
394.3777713,348.161142
394.5697923,313.6102387
394.7618133,307.1129825
394.9538343,305.7366733
395.1458553,339.9981409
395.3378763,313.1404104
395.5298972,327.7237428
395.7219182,309.7513186
395.9139392,297.5388696
396.1059602,353.866261
396.2979812,384.6275978
396.4900022,309.4239137
396.6820232,413.9851425
396.8740442,364.4646393
397.0660651,425.6993048
397.2580861,454.4276465
397.4501071,483.5827754
397.6421281,528.2121992
397.8341491,557.5074587
398.0261701,568.20778
398.2181911,680.9527484
398.410212,683.422116
398.602233,779.4577546
398.794254,804.9893591
398.986275,842.2636365
399.178296,860.8371819
399.370317,865.9542172
399.562338,926.5231982
399.754359,967.6623434
